Opportunity ID,Account ID 18 Digits,Opportunity Owner,Amount (converted),Stage,Created Date,Close Date,Age,Lead Source,Employees,Industry,Market Segment,Reporting Manager,Territory,Month&Year,Created Month & Year
00606000012x6ap,0010600001xEAkdAAG,Director of Sales 1,3500,Closed Lost,3/9/2022,10/10/2022,215,Outbound,,Telecommunications,,Director of Sales 1,APAC,Oct 2022,Mar 2022
00606000012xPZ9,0010600001xGMv3AAG,Director of Sales 1,2500,Closed Lost,4/9/2022,10/10/2022,184,Outbound,,,,Director of Sales 1,APAC,Oct 2022,Apr 2022
00606000012xcqs,0010600001xHSDFAA4,Director of Sales 1,17593.5,Closed Lost,4/23/2022,10/10/2022,170,Outbound,,Financial Services - Banking,,Director of Sales 1,APAC,Oct 2022,Apr 2022
00606000012y9MT,00106000020v0EUAAY,Director of Sales 1,4000,Closed Lost,6/3/2022,10/10/2022,129,Inbound,,Apparel & Textile,,Director of Sales 1,APAC,Oct 2022,Jun 2022
00606000014uYMP,00106000023NPhgAAG,AE 5,1363.84,Closed Lost,10/4/2022,10/11/2022,7,Inbound,,logistics and supply chain,,Director of Sales 2,EMEA,Oct 2022,Oct 2022
00606000012xxe3,00106000020trOSAAY,AE 4,1750,Closed Lost,5/18/2022,10/11/2022,146,Inbound,,Other Consumer Goods - Automotive,,Director of Sales 2,EMEA,Oct 2022,May 2022
00606000012waBF,00106000020qztCAAQ,AE 1,1500,Closed Lost,8/30/2022,10/11/2022,42,Outbound,,Mobility & Transportation - Logistics,,Director of Sales 1,APAC,Oct 2022,Aug 2022
00606000012wVxi,00106000020raoXAAQ,AE 4,9000,Closed Lost,8/19/2022,10/12/2022,54,Inbound,,Financial Services,,Director of Sales 2,EMEA,Oct 2022,Aug 2022
00606000014uceo,00106000020u47gAAA,AE 8,2000,Closed Won,10/12/2022,10/13/2022,1,Inbound,43,Financial Services,Growth,Director of Sales 3,AMER,Oct 2022,Oct 2022
00606000012yxcK,00106000022A4qgAAC,AE 4,11729,Closed Lost,7/29/2022,10/14/2022,77,Inbound,,hospital & health care,,Director of Sales 2,EMEA,Oct 2022,Jul 2022
00606000012z1Fe,00106000022AzKEAA0,Director of Sales 1,3500,Closed Lost,8/10/2022,10/14/2022,65,Partner Referral,,e-Commerce,,Director of Sales 1,APAC,Oct 2022,Aug 2022
00606000012xnir,00106000020sgz0AAA,Director of Sales 1,2150,Closed Won,5/3/2022,10/22/2022,172,Partner Referral,20,Agencies / Consultancies / Software Providers - IT Consultancies,Growth,Director of Sales 1,APAC,Oct 2022,May 2022
00606000012xldf,00106000020sT7eAAE,AE 6,3518.7,Closed Lost,4/30/2022,10/25/2022,178,Customer Referral,,,,Director of Sales 2,EMEA,Oct 2022,Apr 2022
00606000014uYGH,00106000023NP4DAAW,AE 6,2932.25,Closed Lost,10/4/2022,10/25/2022,21,Inbound,,transportation/trucking/railroad,,Director of Sales 2,EMEA,Oct 2022,Oct 2022
00606000012woVs,00106000022nXi3AAE,AE 1,4000,Closed Won,9/28/2022,10/25/2022,27,Outbound,191,e-Commerce,Corporate,Director of Sales 1,APAC,Oct 2022,Sep 2022
